pk,user_pk,caption,like_count,taken_at
3480849807487620533,64525247485,Machine Learning Algorithms Explained.,385,2024-10-17 12:54:14
3556349970031488258,28904998990,"Michelle Comi attiva un crowdfunding per rifarsi le poppe: in 24 ore riceve 15kâ‚¬.

Io attivo un crowdfunding per ricomprare il computer che si Ã¨ rotto allâ€™improvviso (che mi serve per lavorare, quindi non avendo i soldi per ricomprare il computer non lavoro e se non lavoro continuerÃ² a non avere i soldi): in 24 ore ricevo 15k insulti.

Il consiglio piÃ¹ gettonato?
â€œVai a lavorare e compratelo.â€
Ma Ã¨ proprio per poter lavorare che chiedo una mano a ricomprare il computer ğŸ¤£
VabbÃ¨.",475,2025-01-29 16:59:35
3141726791273787771,60381420025,"If you are into Machine Learning and Artificial Intelligence, say hi below! 

I want to join the community here.",154,2023-07-07 15:17:20
3274175088584314747,44292826757,"5 piattaforme con corsi gratuiti per acquisire nuove competenze nel 2024:
1. Freecodecamp - 11 certificazioni su web design, javascript, front end, machine learning, data visualization
2. Digital marketing by google (26 moduli)
3. Kaggle - certificazioni in machine learning, data visualization, SQL, NLP
4. IBM - Python, data science, blockchain e molto altro
5. Cisco Networking Academy- diversi corsi sulla programmazione (attenzione a selezionare quelli gratis)

#corsigratis",288,2024-01-06 09:08:27
3535208276422982056,51754083315,"tech jobs that will boom in 2025

- data engineer
- cloud engineer
- machine learning engineer
- cloud security engineer",320,2024-12-31 12:54:48
3356537156284670881,5760926442,Machine learning is not just LLMs.,173,2024-04-29 00:27:11
3468094634541587220,45700847149,"Coding Language Cheat Sheet
ğŸğŸ‘¾ğŸ“±ğŸ’»

ğŸPython â€”> Data Scientist/Machine Learning Engineer 

ğŸ’»JavaScript â€”> Full Stack Developer

ğŸ“±Swift -> iOS Developer 

ğŸ“±Kotlin â€”> Android Developer

ğŸ‘¾C++ â€”> Game Developer

ğŸ•¶ï¸C# â€”> AR/VR Developer (with Unity)",328,2024-09-29 22:31:59
3501933029318498859,623659295,"Iâ€™m tryna be Ms. 4 degrees!

BS In Management Information Systems âœ…
MS in Data Analysis 
MS in Artificial Intelligence 
Ph.D. In Machine Learning",1203,2024-11-15 15:02:50
3376922739381608795,60685382105,"Want to become a data analyst?

Stage 1 â€“ Excel
Stage 2 â€“ SQL + Project
Stage 3 â€“ Python (Pandas, NumPy) + Project
Stage 4 â€“ Data Visualization (Matplotlib, Seaborn) + Project
Stage 5 â€“ Statistics + Project
Stage 6 â€“ Machine Learning (Scikit-learn) + Project
Stage 7 â€“ Big Data Tools (Hadoop, Spark) + Project

ğŸ† â€“ DataAnalytics",360,2024-05-27 03:29:42
3484008647877698372,45244372710,"I am a data scientist/ machine learning engineer, formerly physiotherapist. What about you, letâ€™s connect",368,2024-10-21 21:30:17
3552557248344412702,58751456078,"Stanford Courses for Comp Sc & Machine Learning

â¯ CS103 - Mathematics for Computer Sc
â¯ CME193 - Python Programming
â¯ CS 161 - Algorithms
â¯ CS229 - Machine Learning
â¯ CS230 - Deep Learning
â¯ CS231N - Deep Learning with CV
â¯ CS224N - Deep Learning with NLP
â¯ CS 234 - Reinforcement Learning

â¯ CS 107 - Computer Organization and Systems
â¯ CS 111 - OS
â¯ CS 144 - Networking
â¯ CS 295 - Software Engineering",554,2025-01-24 11:24:07
3393657796988726327,47680161747,"Python = for Machine Learning
Typescript = for type safety
Javascript = to make memes
Java = for 3 billion devices
C++ = for college
React = for job
C = for dinosaurs",408,2024-06-19 05:39:16
3461980788576105025,52692551603,"10 best graduate degrees in demand by 2030

1. Artificial Intelligence and Machine Learning
2. Data Science and Analytics
3. Healthcare Administration
4. Cybersecurity
5. Sustainable and Renewable Energy Engineering
6. Biotechnology and Biomedical Engineering
7. Public Health
8. Robotics Engineering
9. Environmental Science and Sustainability
10. Business Analytics and Strategy",325,2024-09-21 12:04:52
3505949797094240007,67071502510,"What do I do as a Machine Learning Engineer?

My official title at work is a Machine Learning Engineer, itâ€™s a fancy way to say I know AI, AI infrastructure and how to program. With the recent jumps in artificial intelligence interest, the title changes a lot varying from one place to the next. 

I donâ€™t study the relation of data like Data Scientists, nor do I make or do any groundbreaking earth shattering research like scientists do. I simply take whatâ€™s already been researched, translate 1/3",2617,2024-11-21 04:03:26
3555273435077793954,187264532,"My son has a good point.
Why are we calling machine learning Artificial intelligence?",108,2025-01-28 05:20:42
3444514386146956380,39643192594,"If you have to read just one book on machine learning this year, make it this one :

Python Machine Learning By Example - Yuxi (Hayden) Liu

A review thread ğŸ§µ",473,2024-08-28 09:42:14
3547033296034792948,39643192594,"Best machine learning certificates to consider getting in 2025.

A thread",183,2025-01-16 20:29:00
3479135958245572204,7468607015,"Top three most required tech stack for the following roles:

1. Data Analyst: SQL, Excel, Tableau/Power BI
2. Data Scientist: Python, R, SQL
3. Quantitative Analyst: Python, R, MATLAB
4. Business Analyst: SQL, Business Requirements Gathering, Agile Methodologies, Power BI/Tableau
5. Data Engineer: Python/Scala, SQL, Cloud, Apache Spark
6. Machine Learning Engineer: Python, TensorFlow/PyTorch, Docker/Kubernetes.",619,2024-10-15 04:09:07
3514125015585751398,58751456078,"ğ“ğ¨ğ© ğŒğšğœğ¡ğ¢ğ§ğ ğ‹ğğšğ«ğ§ğ¢ğ§ğ  ğ€ğ¥ğ ğ¨ğ«ğ¢ğ­ğ¡ğ¦ğ¬ ğğ¯ğğ«ğ² ğğšğ­ğš ğğ§ğ­ğ¡ğ®ğ¬ğ¢ğšğ¬ğ­ ğ¬ğ¡ğ¨ğ®ğ¥ğ ğ¤ğ§ğ¨ğ° 

ğŸ­. ğ‹ğ¢ğ§ğğšğ« ğ‘ğğ ğ«ğğ¬ğ¬ğ¢ğ¨ğ§

Type: Supervised
Use: Predicting continuous values (e.g., stock prices)
Explanation: Finds the relationship between input and output variables by fitting a straight line. Best for simple, linear relationships

ğŸ®. ğ‹ğ¨ğ ğ¢ğ¬ğ­ğ¢ğœ ğ‘ğğ ğ«ğğ¬ğ¬ğ¢ğ¨ğ§

Type: Supervised
Use: Classification problems spam vs not spam
Explanation: Used to model binary outcomes by fitting data to a sigmoid curve, outputting probabilities

#threads",471,2024-12-02 10:46:18
3555655901870598419,68951649566,"One of my students went from worrying about ML System Design to crushing it. He landed a Meta E5 offer:

Base: $230k
Bonus: 15%
Sign-on: $80k
RSUs: $875k over 4 years

Hard work pays off. Huge congrats to him!

MachineLearning",128,2025-01-28 18:00:39
3505491828573139974,48929634087,"working on a machine learning project for astronomical object classification

who wants to see it?",163,2024-11-20 12:53:32
3501348710007597179,5472076586,"Machine Learning models do not predict the future.
They just find patterns in the past.",267,2024-11-14 19:41:53
3273036958802195599,6817402894,"Siamo millennial, non abbiamo capito nulla su come fare soldi perchÃ© a scuola ci hanno spiegato i parallelepipedi, mica come investire.",844,2024-01-04 19:27:12
3475997722742603641,39643192594,"Learning ML is hard until you start building.

One of the hardest challenges I faced as a beginner data scientist was developing machine learning models. I watched countless tutorials and I was still confused.

Itâ€™s only after I started building the most basic projects that I gained the momentum. 

Here's how to build your first machine learning model.",395,2024-10-10 20:14:00
3555922365101475918,71072131998,"Stanford CS229: Machine Learning Full Course
Stanford CS230: Deep Learning Full Course

 - By Andrew Ng",592,2025-01-29 02:50:00
3553352338509114631,39643192594,"The next 10-20 years will be dominated by AI.

If I was joining the race, here's what I'd focus on

- Python
- Machine learning & deep learning
- Basic MLOps 
- LLMs
- RAGs (Retrieval Augmented Generation)
- Agentic AI 

What else would you add?",265,2025-01-25 13:43:49
3262868543828558371,1394751896,"Ora Ã¨ il momento di divulgare il teorema di Bayes
matematica",380,2023-12-21 18:44:22
3544279376620491667,50446070550,"High-Income Skills to Learn: ğŸ’²ğŸ“ˆ

1. Artificial intelligence 
2. Cloud computing 
3. Data science 
4. Machine learning 
5. Blockchain 
6. Data analytics 
7. Data engineering 
8. Applications engineering 
9. Systems engineering 
10. Software development",388,2025-01-13 01:17:28
3456710371163841653,5472076586,"Machine Learning models do not predict the future.
They just find patterns in the past.",215,2024-09-14 05:33:29
3296119679774974450,6377078357,"Ingegneri informatici: coloro che non sono nÃ© ingegneri, nÃ© informatici.",146,2024-02-05 15:48:27
